srcip	sport	dstip	dsport	proto	state	dur	sbytes	dbytes	sttl	dttl	sloss	dloss	service	Sload	Dload	Spkts	Dpkts	swin	dwin	stcpb	dtcpb	smeansz	dmeansz	trans_depth	res_bdy_len	Sjit	Djit	Stime	Ltime	Sintpkt	Dintpkt	tcprtt	synack	ackdat	is_sm_ips_ports	ct_state_ttl	ct_flw_http_mthd	is_ftp_login	ct_ftp_cmd	ct_srv_src	ct_srv_dst	ct_dst_ltm	ct_src_ ltm	ct_src_dport_ltm	ct_dst_sport_ltm	ct_dst_src_ltm	attack_cat	Label		actual	predict1	predict2	predict3	predict4	predict5	predict6	predict7	predict8	predict9	predict10
59.166.0.1	10393	149.171.126.6	44307	udp	CON	0.001749	528	304	31	29	0	0	-	1811320.75	1042881.625	4	4	0	0	0	0	132	76	0	0	0.640403	0.280968	1421927415	1421927415	0.458333	0.203667	0	0	0	0	0	0	0	0	8	2	3	5	1	1	2		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.2	62539	149.171.126.4	53	udp	CON	0.001128	132	164	31	29	0	0	dns	468085.125	581560.3125	2	2	0	0	0	0	66	82	0	0	0	0	1421927415	1421927415	0.017	0.015	0	0	0	0	0	0	0	0	7	7	2	1	1	1	1		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.1	21270	149.171.126.9	111	udp	CON	0.005153	568	312	31	29	0	0	-	661362.3125	363283.5313	4	4	0	0	0	0	142	78	0	0	1.890104	1.610554	1421927415	1421927415	1.348	1.149333	0	0	0	0	0	0	0	0	8	4	2	5	2	1	2		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.1	8989	149.171.126.6	111	udp	CON	0.004898	568	312	31	29	0	0	-	695794.1875	382196.8125	4	4	0	0	0	0	142	78	0	0	1.780739	1.549507	1421927415	1421927415	1.269667	1.103667	0	0	0	0	0	0	0	0	8	2	3	5	2	1	2		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.4	49346	149.171.126.5	53	udp	CON	0.001111	132	164	31	29	0	0	dns	475247.5313	590459.0625	2	2	0	0	0	0	66	82	0	0	0	0	1421927415	1421927415	0.018	0.013	0	0	0	0	0	0	0	0	5	9	2	1	1	1	1		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.3	4192	149.171.126.9	53	udp	CON	0.001101	132	164	31	29	0	0	dns	479564.0313	595822	2	2	0	0	0	0	66	82	0	0	0	0	1421927416	1421927416	0.017	0.012	0	0	0	0	0	0	0	0	7	4	3	1	1	1	1		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.2	26872	149.171.126.8	53	udp	CON	0.001082	132	164	31	29	0	0	dns	487985.2188	606284.6875	2	2	0	0	0	0	66	82	0	0	0	0	1421927416	1421927416	0.011	0.009	0	0	0	0	0	0	0	0	7	6	1	1	1	1	1		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.8	24946	149.171.126.2	53	udp	CON	0.001122	132	164	31	29	0	0	dns	470588.2188	584670.1875	2	2	0	0	0	0	66	82	0	0	0	0	1421927416	1421927416	0.018	0.014	0	0	0	0	0	0	0	0	8	3	1	2	2	1	1		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.9	5685	149.171.126.6	53	udp	CON	0.001141	146	178	31	29	0	0	dns	511831.75	624014.0625	2	2	0	0	0	0	73	89	0	0	0	0	1421927416	1421927416	0.017	0.015	0	0	0	0	0	0	0	0	5	7	1	1	1	1	1		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.0	22848	149.171.126.1	53	udp	CON	0.001164	146	178	31	29	0	0	dns	501718.2188	611683.8125	2	2	0	0	0	0	73	89	0	0	0	0	1421927416	1421927416	0.018	0.013	0	0	0	0	0	0	0	0	3	8	2	1	1	1	1		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.5	28565	149.171.126.9	53	udp	CON	0.001127	132	164	31	29	0	0	dns	468500.4688	582076.3125	2	2	0	0	0	0	66	82	0	0	0	0	1421927416	1421927416	0.017	0.015	0	0	0	0	0	0	0	0	6	4	3	1	1	1	1		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.7	46719	149.171.126.4	53	udp	CON	0.001073	132	164	31	29	0	0	dns	492078.2813	611370	2	2	0	0	0	0	66	82	0	0	0	0	1421927416	1421927416	0.011	0.008	0	0	0	0	0	0	0	0	6	7	1	1	1	1	1		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.8	25100	149.171.126.9	53	udp	CON	0.001196	146	178	31	29	0	0	dns	488294.3125	595317.6875	2	2	0	0	0	0	73	89	0	0	0	0	1421927416	1421927416	0.017	0.015	0	0	0	0	0	0	0	0	8	4	3	2	2	1	1		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.1	29704	149.171.126.1	53	udp	CON	0.001101	132	164	31	29	0	0	dns	479564.0313	595822	2	2	0	0	0	0	66	82	0	0	0	0	1421927416	1421927416	0.017	0.013	0	0	0	0	0	0	0	0	6	8	2	1	1	1	1		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.7	36998	149.171.126.6	53	udp	CON	0.001058	146	178	31	29	0	0	dns	551984.875	672967.875	2	2	0	0	0	0	73	89	0	0	0	0	1421927417	1421927417	0.017	0.013	0	0	0	0	0	0	0	0	6	7	1	2	2	1	1		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.7	6438	149.171.126.8	53	udp	CON	0.0011	132	164	31	29	0	0	dns	480000	596363.625	2	2	0	0	0	0	66	82	0	0	0	0	1421927417	1421927417	0.018	0.013	0	0	0	0	0	0	0	0	6	6	3	2	2	1	1		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.8	1416	149.171.126.0	53	udp	CON	0.001126	146	178	31	29	0	0	dns	518650.0938	632326.8125	2	2	0	0	0	0	73	89	0	0	0	0	1421927417	1421927417	0.011	0.008	0	0	0	0	0	0	0	0	8	9	1	1	1	1	1		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.4	35578	149.171.126.8	53	udp	CON	0.001017	146	178	31	29	0	0	dns	574238	700098.375	2	2	0	0	0	0	73	89	0	0	0	0	1421927417	1421927417	0.011	0.012	0	0	0	0	0	0	0	0	5	6	3	2	2	1	1		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.4	38902	149.171.126.7	53	udp	CON	0.001094	132	164	31	29	0	0	dns	482632.5625	599634.375	2	2	0	0	0	0	66	82	0	0	0	0	1421927417	1421927417	0.011	0.009	0	0	0	0	0	0	0	0	5	8	1	2	2	1	1		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.0	9897	149.171.126.8	53	udp	CON	0.001092	132	164	31	29	0	0	dns	483516.4688	600732.5625	2	2	0	0	0	0	66	82	0	0	0	0	1421927417	1421927417	0.017	0.012	0	0	0	0	0	0	0	0	3	6	3	1	1	1	1		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.3	44759	149.171.126.1	53	udp	CON	0.001082	132	164	31	29	0	0	dns	487985.2188	606284.6875	2	2	0	0	0	0	66	82	0	0	0	0	1421927417	1421927417	0.017	0.012	0	0	0	0	0	0	0	0	7	8	1	1	1	1	1		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.2	58304	149.171.126.4	53	udp	CON	0.001089	132	164	31	29	0	0	dns	484848.4688	602387.5	2	2	0	0	0	0	66	82	0	0	0	0	1421927418	1421927418	0.011	0.009	0	0	0	0	0	0	0	0	7	7	1	4	2	1	1		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.8	7419	149.171.126.1	53	udp	CON	0.001126	132	164	31	29	0	0	dns	468916.5313	582593.25	2	2	0	0	0	0	66	82	0	0	0	0	1421927418	1421927418	0.017	0.012	0	0	0	0	0	0	0	0	8	8	3	1	1	1	1		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.2	12527	149.171.126.1	23202	udp	CON	0.001859	528	304	31	29	0	0	-	1704142	981172.6875	4	4	0	0	0	0	132	76	0	0	0.662323	0.337295	1421927418	1421927418	0.475333	0.244	0	0	0	0	0	0	0	0	5	3	3	4	1	1	2		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.1	52335	149.171.126.9	53	udp	CON	0.001152	132	164	31	29	0	0	dns	458333.3125	569444.4375	2	2	0	0	0	0	66	82	0	0	0	0	1421927418	1421927418	0.011	0.009	0	0	0	0	0	0	0	0	6	4	1	1	1	1	1		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.2	39558	149.171.126.1	111	udp	CON	0.004996	568	312	31	29	0	0	-	682145.75	374699.7813	4	4	0	0	0	0	142	78	0	0	1.838719	1.588406	1421927418	1421927418	1.312667	1.137667	0	0	0	0	0	0	0	0	5	3	3	4	1	1	2		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.2	47526	149.171.126.5	53	udp	CON	0.001044	146	178	31	29	0	0	dns	559386.9375	681992.3125	2	2	0	0	0	0	73	89	0	0	0	0	1421927418	1421927418	0.018	0.011	0	0	0	0	0	0	0	0	7	9	1	4	2	1	1		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.3	54634	149.171.126.3	53	udp	CON	0.001089	132	164	31	29	0	0	dns	484848.4688	602387.5	2	2	0	0	0	0	66	82	0	0	0	0	1421927418	1421927418	0.018	0.013	0	0	0	0	0	0	0	0	7	4	1	1	1	1	1		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.4	26778	149.171.126.6	53	udp	CON	0.001122	146	178	31	29	0	0	dns	520499.0938	634581.0625	2	2	0	0	0	0	73	89	0	0	0	0	1421927418	1421927418	0.017	0.012	0	0	0	0	0	0	0	0	5	7	1	1	1	1	1		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.6	60756	149.171.126.2	53	udp	CON	0.001201	130	162	31	29	0	0	dns	432972.5313	539550.375	2	2	0	0	0	0	65	81	0	0	0	0	1421927418	1421927418	0.019	0.016	0	0	0	0	0	0	0	0	12	3	1	1	1	1	1		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.6	25689	149.171.126.4	53	udp	CON	0.001079	132	164	31	29	0	0	dns	489342	607970.375	2	2	0	0	0	0	66	82	0	0	0	0	1421927419	1421927419	0.011	0.008	0	0	0	0	0	0	0	0	12	7	1	2	2	1	1		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.1	16931	149.171.126.3	38340	udp	CON	0.001864	528	304	31	29	0	0	-	1699570.875	978540.75	4	4	0	0	0	0	132	76	0	0	0.661617	0.338476	1421927419	1421927419	0.474333	0.244333	0	0	0	0	0	0	0	0	8	2	2	3	1	1	2		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.1	15133	149.171.126.3	111	udp	CON	0.0051	568	312	31	29	0	0	-	668235.25	367058.8125	4	4	0	0	0	0	142	78	0	0	1.869125	1.620926	1421927419	1421927419	1.332667	1.156667	0	0	0	0	0	0	0	0	8	2	2	3	1	1	2		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.2	58771	149.171.126.8	53	udp	CON	0.001123	132	164	31	29	0	0	dns	470169.1563	584149.5625	2	2	0	0	0	0	66	82	0	0	0	0	1421927419	1421927419	0.012	0.008	0	0	0	0	0	0	0	0	7	6	1	1	1	1	1		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.5	13903	149.171.126.7	53	udp	CON	0.001112	132	164	31	29	0	0	dns	474820.1563	589928.0625	2	2	0	0	0	0	66	82	0	0	0	0	1421927419	1421927419	0.018	0.016	0	0	0	0	0	0	0	0	6	8	1	1	1	1	1		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.1	24551	149.171.126.5	53	udp	CON	0.001066	132	164	31	29	0	0	dns	495309.5938	615384.625	2	2	0	0	0	0	66	82	0	0	0	0	1421927419	1421927419	0.011	0.008	0	0	0	0	0	0	0	0	6	9	2	3	1	1	1		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.6	10510	149.171.126.5	53	udp	CON	0.001108	130	162	31	29	0	0	dns	469314.0625	584837.5	2	2	0	0	0	0	65	81	0	0	0	0	1421927419	1421927419	0.017	0.012	0	0	0	0	0	0	0	0	12	9	2	2	2	1	1		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.1	31564	149.171.126.8	55173	udp	CON	0.011205	528	304	31	29	0	0	-	282730.9375	162784.4688	4	4	0	0	0	0	132	76	0	0	0.625554	4.74233	1421927420	1421927420	0.449333	3.361333	0	0	0	0	0	0	0	0	8	2	2	2	1	1	2		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.8	44119	149.171.126.2	53	udp	CON	0.001091	130	162	31	29	0	0	dns	476626.9375	593950.5	2	2	0	0	0	0	65	81	0	0	0	0	1421927420	1421927420	0.011	0.008	0	0	0	0	0	0	0	0	8	3	3	2	2	1	1		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.9	41515	149.171.126.5	53	udp	CON	0.001091	130	162	31	29	0	0	dns	476626.9375	593950.5	2	2	0	0	0	0	65	81	0	0	0	0	1421927420	1421927420	0.011	0.008	0	0	0	0	0	0	0	0	5	9	2	1	1	1	1		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.2	32716	149.171.126.7	53	udp	CON	0.001135	132	164	31	29	0	0	dns	465198.2188	577973.5625	2	2	0	0	0	0	66	82	0	0	0	0	1421927420	1421927420	0.011	0.008	0	0	0	0	0	0	0	0	7	8	1	1	1	1	1		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.3	40309	149.171.126.1	53	udp	CON	0.001105	132	164	31	29	0	0	dns	477828.0313	593665.125	2	2	0	0	0	0	66	82	0	0	0	0	1421927420	1421927420	0.011	0.008	0	0	0	0	0	0	0	0	7	8	2	1	1	1	1		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.8	47061	149.171.126.1	53	udp	CON	0.001087	146	178	31	29	0	0	dns	537258.5	655013.8125	2	2	0	0	0	0	73	89	0	0	0	0	1421927420	1421927420	0.011	0.008	0	0	0	0	0	0	0	0	8	8	2	2	2	1	1		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.1	29622	149.171.126.8	111	udp	CON	0.040337	568	312	31	29	0	0	-	84488.1875	46409.00391	4	4	0	0	0	0	142	78	0	0	11.786999	18.234869	1421927420	1421927420	8.349667	12.905	0	0	0	0	0	0	0	0	8	2	2	2	1	1	2		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.5	30507	149.171.126.2	32859	udp	CON	0.0314	520	304	31	29	0	0	-	99363.0625	58089.17578	4	4	0	0	0	0	130	76	0	0	7.678237	10.358879	1421927420	1421927420	5.437333	7.331333	0	0	0	0	0	0	0	0	2	2	3	3	1	1	2		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.5	56644	149.171.126.2	111	udp	CON	0.060192	568	304	31	29	0	0	-	56618.82031	30303.0293	4	4	0	0	0	0	142	76	0	0	21.212496	27.670975	1421927420	1421927420	15.011	19.576334	0	0	0	0	0	0	0	0	2	2	3	3	1	1	2		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.5	49910	149.171.126.5	53	udp	CON	0.001044	130	162	31	29	0	0	dns	498084.2813	620689.625	2	2	0	0	0	0	65	81	0	0	0	0	1421927420	1421927420	0.011	0.008	0	0	0	0	0	0	0	0	6	9	2	3	1	1	1		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.2	36701	149.171.126.7	111	udp	CON	0.004565	568	304	31	29	0	0	-	746549.8125	399561.875	4	4	0	0	0	0	142	76	0	0	1.722279	1.432127	1421927421	1421927421	1.225333	1.020667	0	0	0	0	0	0	0	0	5	4	5	3	1	1	2		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.6	15807	149.171.126.7	53	udp	CON	0.001118	132	164	31	29	0	0	dns	472271.9063	586762.0625	2	2	0	0	0	0	66	82	0	0	0	0	1421927421	1421927421	0.012	0.008	0	0	0	0	0	0	0	0	12	8	5	3	3	2	2		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.6	57983	149.171.126.0	53	udp	CON	0.00112	132	164	31	29	0	0	dns	471428.5625	585714.25	2	2	0	0	0	0	66	82	0	0	0	0	1421927421	1421927421	0.018	0.016	0	0	0	0	0	0	0	0	12	9	3	3	3	1	1		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.6	15807	149.171.126.7	53	udp	CON	0.001118	132	164	31	29	0	0	dns	472271.9063	586762.0625	2	2	0	0	0	0	66	82	0	0	0	0	1421927421	1421927421	0.012	0.008	0	0	0	0	0	0	0	0	12	8	5	3	3	2	2		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.2	62824	149.171.126.7	14455	udp	CON	0.001775	520	304	31	29	0	0	-	1757746.5	1027605.625	4	4	0	0	0	0	130	76	0	0	0.645117	0.309251	1421927421	1421927421	0.461667	0.223667	0	0	0	0	0	0	0	0	5	4	5	3	1	1	2		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.1	26719	149.171.126.0	53	udp	CON	0.001087	146	178	31	29	0	0	dns	537258.5	655013.8125	2	2	0	0	0	0	73	89	0	0	0	0	1421927421	1421927421	0.011	0.008	0	0	0	0	0	0	0	0	6	9	3	1	1	1	1		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.7	57137	149.171.126.7	53	udp	CON	0.001111	132	164	31	29	0	0	dns	475247.5313	590459.0625	2	2	0	0	0	0	66	82	0	0	0	0	1421927421	1421927421	0.017	0.013	0	0	0	0	0	0	0	0	6	8	5	1	1	1	1		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.2	19393	149.171.126.0	53	udp	CON	0.001118	132	164	31	29	0	0	dns	472271.9063	586762.0625	2	2	0	0	0	0	66	82	0	0	0	0	1421927421	1421927421	0.011	0.009	0	0	0	0	0	0	0	0	7	9	3	3	1	1	1		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.5	13987	149.171.126.0	53	udp	CON	0.00106	130	162	31	29	0	0	dns	490566.0313	611320.75	2	2	0	0	0	0	65	81	0	0	0	0	1421927422	1421927422	0.018	0.015	0	0	0	0	0	0	0	0	6	9	2	1	1	1	1		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.7	34944	149.171.126.0	53	udp	CON	0.001073	132	164	31	29	0	0	dns	492078.2813	611370	2	2	0	0	0	0	66	82	0	0	0	0	1421927422	1421927422	0.011	0.008	0	0	0	0	0	0	0	0	6	9	2	1	1	1	1		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.3	40146	149.171.126.4	53	udp	CON	0.001176	132	164	31	29	0	0	dns	448979.5938	557823.125	2	2	0	0	0	0	66	82	0	0	0	0	1421927422	1421927422	0.012	0.009	0	0	0	0	0	0	0	0	7	7	1	1	1	1	1		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.9	4864	149.171.126.7	53	udp	CON	0.001214	146	178	31	29	0	0	dns	481054.3438	586490.9375	2	2	0	0	0	0	73	89	0	0	0	0	1421927422	1421927422	0.018	0.012	0	0	0	0	0	0	0	0	5	8	1	1	1	1	1		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.1	35110	149.171.126.3	53	udp	CON	0.001126	132	164	31	29	0	0	dns	468916.5313	582593.25	2	2	0	0	0	0	66	82	0	0	0	0	1421927422	1421927422	0.011	0.008	0	0	0	0	0	0	0	0	6	4	1	1	1	1	1		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.6	6379	149.171.126.6	53	udp	CON	0.00108	146	178	31	29	0	0	dns	540740.75	659259.3125	2	2	0	0	0	0	73	89	0	0	0	0	1421927422	1421927422	0.011	0.008	0	0	0	0	0	0	0	0	12	7	1	1	1	1	1		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.8	62676	149.171.126.3	53	udp	CON	0.001061	132	164	31	29	0	0	dns	497643.7188	618284.625	2	2	0	0	0	0	66	82	0	0	0	0	1421927423	1421927423	0.011	0.008	0	0	0	0	0	0	0	0	8	4	1	4	2	1	1		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.8	53247	149.171.126.7	25790	udp	CON	0.00178	520	304	31	29	0	0	-	1752809	1024719.063	4	4	0	0	0	0	130	76	0	0	0.642524	0.310193	1421927423	1421927423	0.461333	0.224333	0	0	0	0	0	0	0	0	2	4	2	4	1	1	2		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.4	61452	149.171.126.0	53	udp	CON	0.001125	146	178	31	29	0	0	dns	519111.125	632888.9375	2	2	0	0	0	0	73	89	0	0	0	0	1421927423	1421927423	0.017	0.013	0	0	0	0	0	0	0	0	5	9	2	1	1	1	1		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.6	16859	149.171.126.1	53	udp	CON	0.001064	132	164	31	29	0	0	dns	496240.625	616541.375	2	2	0	0	0	0	66	82	0	0	0	0	1421927423	1421927423	0.011	0.007	0	0	0	0	0	0	0	0	12	8	1	1	1	1	1		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.9	30521	149.171.126.6	53	udp	CON	0.001083	146	178	31	29	0	0	dns	539242.875	657433.0625	2	2	0	0	0	0	73	89	0	0	0	0	1421927423	1421927423	0.011	0.008	0	0	0	0	0	0	0	0	5	7	1	1	1	1	1		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.3	1809	149.171.126.0	53	udp	CON	0.001128	132	164	31	29	0	0	dns	468085.125	581560.3125	2	2	0	0	0	0	66	82	0	0	0	0	1421927423	1421927423	0.011	0.008	0	0	0	0	0	0	0	0	7	9	2	1	1	1	1		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.8	37848	149.171.126.8	53	udp	CON	0.001166	132	164	31	29	0	0	dns	452830.1875	562607.1875	2	2	0	0	0	0	66	82	0	0	0	0	1421927423	1421927423	0.018	0.013	0	0	0	0	0	0	0	0	8	6	1	4	2	1	1		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.8	53697	149.171.126.7	111	udp	CON	0.00468	568	304	31	29	0	0	-	728205.1875	389743.5938	4	4	0	0	0	0	142	76	0	0	1.760229	1.48045	1421927423	1421927423	1.256667	1.057333	0	0	0	0	0	0	0	0	2	4	2	4	1	1	2		0		0	0	0	0	0	0	0	0	0	0	0
59.166.0.6	45430	149.171.126.1	53	udp	CON	0.001069	130	162	31	29	0	0	dns	486435.9375	606174	2	2	0	0	0	0	65	81	0	0	0	0	1421927424	1421927424	0.011	0.008	0	0	0	0	0	0	0	0	12	8	2	2	2	1	1		0		0	0	0	0	0	0	0	0	0	0	0
