srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,Label,actual,predict
10.40.170.2,0.0,10.40.170.2,0,arp,INT,0.0,46.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,1421927415.0,1421927415.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,0.0,0,0
10.40.170.2,0.0,10.40.170.2,0,arp,INT,0.0,46.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,1421927415.0,1421927415.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,0.0,0,0
10.40.182.3,0.0,10.40.182.3,0,arp,INT,0.0,46.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,1421927415.0,1421927415.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,0.0,0,0
59.166.0.1,48847.0,149.171.126.5,53,udp,CON,0.001093,132.0,164.0,31.0,29.0,0.0,0.0,dns,483074.0938,600182.9375,2.0,2.0,0.0,0.0,0.0,0.0,66.0,82.0,0.0,0.0,0.0,0.0,1421927415.0,1421927415.0,0.018000000000000002,0.013000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.0,9.0,2.0,5.0,1.0,1.0,1.0,,0.0,0,0
59.166.0.1,24266.0,149.171.126.9,41049,udp,CON,0.0018510000000000002,528.0,304.0,31.0,29.0,0.0,0.0,-,1711507.25,985413.3125,4.0,4.0,0.0,0.0,0.0,0.0,132.0,76.0,0.0,0.0,0.656903,0.328339,1421927415.0,1421927415.0,0.47100000000000003,0.23766700000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.0,4.0,2.0,5.0,1.0,1.0,2.0,,0.0,0,0
59.166.0.1,10393.0,149.171.126.6,44307,udp,CON,0.001749,528.0,304.0,31.0,29.0,0.0,0.0,-,1811320.75,1042881.625,4.0,4.0,0.0,0.0,0.0,0.0,132.0,76.0,0.0,0.0,0.640403,0.280968,1421927415.0,1421927415.0,0.458333,0.20366700000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.0,2.0,3.0,5.0,1.0,1.0,2.0,,0.0,0,0
59.166.0.2,62539.0,149.171.126.4,53,udp,CON,0.0011279999999999999,132.0,164.0,31.0,29.0,0.0,0.0,dns,468085.125,581560.3125,2.0,2.0,0.0,0.0,0.0,0.0,66.0,82.0,0.0,0.0,0.0,0.0,1421927415.0,1421927415.0,0.017,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.0,7.0,2.0,1.0,1.0,1.0,1.0,,0.0,0,0
59.166.0.1,21270.0,149.171.126.9,111,udp,CON,0.0051530000000000005,568.0,312.0,31.0,29.0,0.0,0.0,-,661362.3125,363283.5313,4.0,4.0,0.0,0.0,0.0,0.0,142.0,78.0,0.0,0.0,1.890104,1.610554,1421927415.0,1421927415.0,1.348,1.149333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.0,4.0,2.0,5.0,2.0,1.0,2.0,,0.0,0,0
59.166.0.1,8989.0,149.171.126.6,111,udp,CON,0.004898,568.0,312.0,31.0,29.0,0.0,0.0,-,695794.1875,382196.8125,4.0,4.0,0.0,0.0,0.0,0.0,142.0,78.0,0.0,0.0,1.7807389999999998,1.549507,1421927415.0,1421927415.0,1.269667,1.103667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.0,2.0,3.0,5.0,2.0,1.0,2.0,,0.0,0,0
59.166.0.4,49346.0,149.171.126.5,53,udp,CON,0.001111,132.0,164.0,31.0,29.0,0.0,0.0,dns,475247.5313,590459.0625,2.0,2.0,0.0,0.0,0.0,0.0,66.0,82.0,0.0,0.0,0.0,0.0,1421927415.0,1421927415.0,0.018000000000000002,0.013000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.0,9.0,2.0,1.0,1.0,1.0,1.0,,0.0,0,0
59.166.0.3,4192.0,149.171.126.9,53,udp,CON,0.001101,132.0,164.0,31.0,29.0,0.0,0.0,dns,479564.0313,595822.0,2.0,2.0,0.0,0.0,0.0,0.0,66.0,82.0,0.0,0.0,0.0,0.0,1421927416.0,1421927416.0,0.017,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.0,4.0,3.0,1.0,1.0,1.0,1.0,,0.0,0,0
59.166.0.2,26872.0,149.171.126.8,53,udp,CON,0.001082,132.0,164.0,31.0,29.0,0.0,0.0,dns,487985.2188,606284.6875,2.0,2.0,0.0,0.0,0.0,0.0,66.0,82.0,0.0,0.0,0.0,0.0,1421927416.0,1421927416.0,0.011000000000000001,0.009000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.0,6.0,1.0,1.0,1.0,1.0,1.0,,0.0,0,0
59.166.0.8,24946.0,149.171.126.2,53,udp,CON,0.0011220000000000002,132.0,164.0,31.0,29.0,0.0,0.0,dns,470588.2188,584670.1875,2.0,2.0,0.0,0.0,0.0,0.0,66.0,82.0,0.0,0.0,0.0,0.0,1421927416.0,1421927416.0,0.018000000000000002,0.013999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.0,3.0,1.0,2.0,2.0,1.0,1.0,,0.0,0,0
59.166.0.9,5685.0,149.171.126.6,53,udp,CON,0.001141,146.0,178.0,31.0,29.0,0.0,0.0,dns,511831.75,624014.0625,2.0,2.0,0.0,0.0,0.0,0.0,73.0,89.0,0.0,0.0,0.0,0.0,1421927416.0,1421927416.0,0.017,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.0,7.0,1.0,1.0,1.0,1.0,1.0,,0.0,0,0
59.166.0.0,22848.0,149.171.126.1,53,udp,CON,0.001164,146.0,178.0,31.0,29.0,0.0,0.0,dns,501718.2188,611683.8125,2.0,2.0,0.0,0.0,0.0,0.0,73.0,89.0,0.0,0.0,0.0,0.0,1421927416.0,1421927416.0,0.018000000000000002,0.013000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,8.0,2.0,1.0,1.0,1.0,1.0,,0.0,0,0
59.166.0.5,28565.0,149.171.126.9,53,udp,CON,0.001127,132.0,164.0,31.0,29.0,0.0,0.0,dns,468500.4688,582076.3125,2.0,2.0,0.0,0.0,0.0,0.0,66.0,82.0,0.0,0.0,0.0,0.0,1421927416.0,1421927416.0,0.017,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.0,4.0,3.0,1.0,1.0,1.0,1.0,,0.0,0,0
59.166.0.7,46719.0,149.171.126.4,53,udp,CON,0.001073,132.0,164.0,31.0,29.0,0.0,0.0,dns,492078.2813,611370.0,2.0,2.0,0.0,0.0,0.0,0.0,66.0,82.0,0.0,0.0,0.0,0.0,1421927416.0,1421927416.0,0.011000000000000001,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.0,7.0,1.0,1.0,1.0,1.0,1.0,,0.0,0,0
59.166.0.8,25100.0,149.171.126.9,53,udp,CON,0.001196,146.0,178.0,31.0,29.0,0.0,0.0,dns,488294.3125,595317.6875,2.0,2.0,0.0,0.0,0.0,0.0,73.0,89.0,0.0,0.0,0.0,0.0,1421927416.0,1421927416.0,0.017,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.0,4.0,3.0,2.0,2.0,1.0,1.0,,0.0,0,0
59.166.0.1,29704.0,149.171.126.1,53,udp,CON,0.001101,132.0,164.0,31.0,29.0,0.0,0.0,dns,479564.0313,595822.0,2.0,2.0,0.0,0.0,0.0,0.0,66.0,82.0,0.0,0.0,0.0,0.0,1421927416.0,1421927416.0,0.017,0.013000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.0,8.0,2.0,1.0,1.0,1.0,1.0,,0.0,0,0
59.166.0.7,36998.0,149.171.126.6,53,udp,CON,0.001058,146.0,178.0,31.0,29.0,0.0,0.0,dns,551984.875,672967.875,2.0,2.0,0.0,0.0,0.0,0.0,73.0,89.0,0.0,0.0,0.0,0.0,1421927417.0,1421927417.0,0.017,0.013000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.0,7.0,1.0,2.0,2.0,1.0,1.0,,0.0,0,0
59.166.0.7,6438.0,149.171.126.8,53,udp,CON,0.0011,132.0,164.0,31.0,29.0,0.0,0.0,dns,480000.0,596363.625,2.0,2.0,0.0,0.0,0.0,0.0,66.0,82.0,0.0,0.0,0.0,0.0,1421927417.0,1421927417.0,0.018000000000000002,0.013000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.0,6.0,3.0,2.0,2.0,1.0,1.0,,0.0,0,0
59.166.0.8,1416.0,149.171.126.0,53,udp,CON,0.001126,146.0,178.0,31.0,29.0,0.0,0.0,dns,518650.0938,632326.8125,2.0,2.0,0.0,0.0,0.0,0.0,73.0,89.0,0.0,0.0,0.0,0.0,1421927417.0,1421927417.0,0.011000000000000001,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.0,9.0,1.0,1.0,1.0,1.0,1.0,,0.0,0,0
59.166.0.4,35578.0,149.171.126.8,53,udp,CON,0.001017,146.0,178.0,31.0,29.0,0.0,0.0,dns,574238.0,700098.375,2.0,2.0,0.0,0.0,0.0,0.0,73.0,89.0,0.0,0.0,0.0,0.0,1421927417.0,1421927417.0,0.011000000000000001,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.0,6.0,3.0,2.0,2.0,1.0,1.0,,0.0,0,0
59.166.0.4,38902.0,149.171.126.7,53,udp,CON,0.001094,132.0,164.0,31.0,29.0,0.0,0.0,dns,482632.5625,599634.375,2.0,2.0,0.0,0.0,0.0,0.0,66.0,82.0,0.0,0.0,0.0,0.0,1421927417.0,1421927417.0,0.011000000000000001,0.009000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.0,8.0,1.0,2.0,2.0,1.0,1.0,,0.0,0,0
59.166.0.0,9897.0,149.171.126.8,53,udp,CON,0.001092,132.0,164.0,31.0,29.0,0.0,0.0,dns,483516.4688,600732.5625,2.0,2.0,0.0,0.0,0.0,0.0,66.0,82.0,0.0,0.0,0.0,0.0,1421927417.0,1421927417.0,0.017,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,6.0,3.0,1.0,1.0,1.0,1.0,,0.0,0,0
59.166.0.3,44759.0,149.171.126.1,53,udp,CON,0.001082,132.0,164.0,31.0,29.0,0.0,0.0,dns,487985.2188,606284.6875,2.0,2.0,0.0,0.0,0.0,0.0,66.0,82.0,0.0,0.0,0.0,0.0,1421927417.0,1421927417.0,0.017,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.0,8.0,1.0,1.0,1.0,1.0,1.0,,0.0,0,0
59.166.0.2,58304.0,149.171.126.4,53,udp,CON,0.0010890000000000001,132.0,164.0,31.0,29.0,0.0,0.0,dns,484848.4688,602387.5,2.0,2.0,0.0,0.0,0.0,0.0,66.0,82.0,0.0,0.0,0.0,0.0,1421927418.0,1421927418.0,0.011000000000000001,0.009000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.0,7.0,1.0,4.0,2.0,1.0,1.0,,0.0,0,0
59.166.0.8,7419.0,149.171.126.1,53,udp,CON,0.001126,132.0,164.0,31.0,29.0,0.0,0.0,dns,468916.5313,582593.25,2.0,2.0,0.0,0.0,0.0,0.0,66.0,82.0,0.0,0.0,0.0,0.0,1421927418.0,1421927418.0,0.017,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.0,8.0,3.0,1.0,1.0,1.0,1.0,,0.0,0,0
59.166.0.2,12527.0,149.171.126.1,23202,udp,CON,0.001859,528.0,304.0,31.0,29.0,0.0,0.0,-,1704142.0,981172.6875,4.0,4.0,0.0,0.0,0.0,0.0,132.0,76.0,0.0,0.0,0.662323,0.33729499999999996,1421927418.0,1421927418.0,0.475333,0.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.0,3.0,3.0,4.0,1.0,1.0,2.0,,0.0,0,0
59.166.0.1,52335.0,149.171.126.9,53,udp,CON,0.001152,132.0,164.0,31.0,29.0,0.0,0.0,dns,458333.3125,569444.4375,2.0,2.0,0.0,0.0,0.0,0.0,66.0,82.0,0.0,0.0,0.0,0.0,1421927418.0,1421927418.0,0.011000000000000001,0.009000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.0,4.0,1.0,1.0,1.0,1.0,1.0,,0.0,0,0
59.166.0.2,39558.0,149.171.126.1,111,udp,CON,0.0049960000000000004,568.0,312.0,31.0,29.0,0.0,0.0,-,682145.75,374699.7813,4.0,4.0,0.0,0.0,0.0,0.0,142.0,78.0,0.0,0.0,1.8387189999999998,1.588406,1421927418.0,1421927418.0,1.312667,1.137667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.0,3.0,3.0,4.0,1.0,1.0,2.0,,0.0,0,0
59.166.0.2,47526.0,149.171.126.5,53,udp,CON,0.001044,146.0,178.0,31.0,29.0,0.0,0.0,dns,559386.9375,681992.3125,2.0,2.0,0.0,0.0,0.0,0.0,73.0,89.0,0.0,0.0,0.0,0.0,1421927418.0,1421927418.0,0.018000000000000002,0.011000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.0,9.0,1.0,4.0,2.0,1.0,1.0,,0.0,0,0
59.166.0.3,54634.0,149.171.126.3,53,udp,CON,0.0010890000000000001,132.0,164.0,31.0,29.0,0.0,0.0,dns,484848.4688,602387.5,2.0,2.0,0.0,0.0,0.0,0.0,66.0,82.0,0.0,0.0,0.0,0.0,1421927418.0,1421927418.0,0.018000000000000002,0.013000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.0,4.0,1.0,1.0,1.0,1.0,1.0,,0.0,0,0
59.166.0.4,26778.0,149.171.126.6,53,udp,CON,0.0011220000000000002,146.0,178.0,31.0,29.0,0.0,0.0,dns,520499.0938,634581.0625,2.0,2.0,0.0,0.0,0.0,0.0,73.0,89.0,0.0,0.0,0.0,0.0,1421927418.0,1421927418.0,0.017,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.0,7.0,1.0,1.0,1.0,1.0,1.0,,0.0,0,0
59.166.0.6,60756.0,149.171.126.2,53,udp,CON,0.001201,130.0,162.0,31.0,29.0,0.0,0.0,dns,432972.5313,539550.375,2.0,2.0,0.0,0.0,0.0,0.0,65.0,81.0,0.0,0.0,0.0,0.0,1421927418.0,1421927418.0,0.019,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12.0,3.0,1.0,1.0,1.0,1.0,1.0,,0.0,0,0
59.166.0.6,25689.0,149.171.126.4,53,udp,CON,0.0010789999999999999,132.0,164.0,31.0,29.0,0.0,0.0,dns,489342.0,607970.375,2.0,2.0,0.0,0.0,0.0,0.0,66.0,82.0,0.0,0.0,0.0,0.0,1421927419.0,1421927419.0,0.011000000000000001,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12.0,7.0,1.0,2.0,2.0,1.0,1.0,,0.0,0,0
59.166.0.1,16931.0,149.171.126.3,38340,udp,CON,0.001864,528.0,304.0,31.0,29.0,0.0,0.0,-,1699570.875,978540.75,4.0,4.0,0.0,0.0,0.0,0.0,132.0,76.0,0.0,0.0,0.661617,0.338476,1421927419.0,1421927419.0,0.474333,0.244333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.0,2.0,2.0,3.0,1.0,1.0,2.0,,0.0,0,0
59.166.0.1,15133.0,149.171.126.3,111,udp,CON,0.0051,568.0,312.0,31.0,29.0,0.0,0.0,-,668235.25,367058.8125,4.0,4.0,0.0,0.0,0.0,0.0,142.0,78.0,0.0,0.0,1.869125,1.620926,1421927419.0,1421927419.0,1.332667,1.1566670000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.0,2.0,2.0,3.0,1.0,1.0,2.0,,0.0,0,0
59.166.0.2,58771.0,149.171.126.8,53,udp,CON,0.001123,132.0,164.0,31.0,29.0,0.0,0.0,dns,470169.1563,584149.5625,2.0,2.0,0.0,0.0,0.0,0.0,66.0,82.0,0.0,0.0,0.0,0.0,1421927419.0,1421927419.0,0.012,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.0,6.0,1.0,1.0,1.0,1.0,1.0,,0.0,0,0
59.166.0.5,13903.0,149.171.126.7,53,udp,CON,0.001112,132.0,164.0,31.0,29.0,0.0,0.0,dns,474820.1563,589928.0625,2.0,2.0,0.0,0.0,0.0,0.0,66.0,82.0,0.0,0.0,0.0,0.0,1421927419.0,1421927419.0,0.018000000000000002,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.0,8.0,1.0,1.0,1.0,1.0,1.0,,0.0,0,0
59.166.0.1,24551.0,149.171.126.5,53,udp,CON,0.001066,132.0,164.0,31.0,29.0,0.0,0.0,dns,495309.5938,615384.625,2.0,2.0,0.0,0.0,0.0,0.0,66.0,82.0,0.0,0.0,0.0,0.0,1421927419.0,1421927419.0,0.011000000000000001,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.0,9.0,2.0,3.0,1.0,1.0,1.0,,0.0,0,0
59.166.0.6,10510.0,149.171.126.5,53,udp,CON,0.001108,130.0,162.0,31.0,29.0,0.0,0.0,dns,469314.0625,584837.5,2.0,2.0,0.0,0.0,0.0,0.0,65.0,81.0,0.0,0.0,0.0,0.0,1421927419.0,1421927419.0,0.017,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12.0,9.0,2.0,2.0,2.0,1.0,1.0,,0.0,0,0
59.166.0.1,31564.0,149.171.126.8,55173,udp,CON,0.011205,528.0,304.0,31.0,29.0,0.0,0.0,-,282730.9375,162784.4688,4.0,4.0,0.0,0.0,0.0,0.0,132.0,76.0,0.0,0.0,0.6255539999999999,4.74233,1421927420.0,1421927420.0,0.449333,3.361333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.0,2.0,2.0,2.0,1.0,1.0,2.0,,0.0,0,0
59.166.0.8,44119.0,149.171.126.2,53,udp,CON,0.001091,130.0,162.0,31.0,29.0,0.0,0.0,dns,476626.9375,593950.5,2.0,2.0,0.0,0.0,0.0,0.0,65.0,81.0,0.0,0.0,0.0,0.0,1421927420.0,1421927420.0,0.011000000000000001,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.0,3.0,3.0,2.0,2.0,1.0,1.0,,0.0,0,0
59.166.0.9,41515.0,149.171.126.5,53,udp,CON,0.001091,130.0,162.0,31.0,29.0,0.0,0.0,dns,476626.9375,593950.5,2.0,2.0,0.0,0.0,0.0,0.0,65.0,81.0,0.0,0.0,0.0,0.0,1421927420.0,1421927420.0,0.011000000000000001,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.0,9.0,2.0,1.0,1.0,1.0,1.0,,0.0,0,0
59.166.0.2,32716.0,149.171.126.7,53,udp,CON,0.001135,132.0,164.0,31.0,29.0,0.0,0.0,dns,465198.2188,577973.5625,2.0,2.0,0.0,0.0,0.0,0.0,66.0,82.0,0.0,0.0,0.0,0.0,1421927420.0,1421927420.0,0.011000000000000001,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.0,8.0,1.0,1.0,1.0,1.0,1.0,,0.0,0,0
59.166.0.3,40309.0,149.171.126.1,53,udp,CON,0.001105,132.0,164.0,31.0,29.0,0.0,0.0,dns,477828.0313,593665.125,2.0,2.0,0.0,0.0,0.0,0.0,66.0,82.0,0.0,0.0,0.0,0.0,1421927420.0,1421927420.0,0.011000000000000001,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.0,8.0,2.0,1.0,1.0,1.0,1.0,,0.0,0,0
59.166.0.8,47061.0,149.171.126.1,53,udp,CON,0.0010869999999999999,146.0,178.0,31.0,29.0,0.0,0.0,dns,537258.5,655013.8125,2.0,2.0,0.0,0.0,0.0,0.0,73.0,89.0,0.0,0.0,0.0,0.0,1421927420.0,1421927420.0,0.011000000000000001,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.0,8.0,2.0,2.0,2.0,1.0,1.0,,0.0,0,0
59.166.0.1,29622.0,149.171.126.8,111,udp,CON,0.040337,568.0,312.0,31.0,29.0,0.0,0.0,-,84488.1875,46409.00391,4.0,4.0,0.0,0.0,0.0,0.0,142.0,78.0,0.0,0.0,11.786999,18.234869,1421927420.0,1421927420.0,8.349667,12.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.0,2.0,2.0,2.0,1.0,1.0,2.0,,0.0,0,0
59.166.0.5,30507.0,149.171.126.2,32859,udp,CON,0.0314,520.0,304.0,31.0,29.0,0.0,0.0,-,99363.0625,58089.17578,4.0,4.0,0.0,0.0,0.0,0.0,130.0,76.0,0.0,0.0,7.678236999999999,10.358879,1421927420.0,1421927420.0,5.437333,7.331333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,,0.0,0,0
59.166.0.5,56644.0,149.171.126.2,111,udp,CON,0.060191999999999996,568.0,304.0,31.0,29.0,0.0,0.0,-,56618.82031,30303.0293,4.0,4.0,0.0,0.0,0.0,0.0,142.0,76.0,0.0,0.0,21.212495999999998,27.670975,1421927420.0,1421927420.0,15.011,19.576334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,,0.0,0,0
59.166.0.5,49910.0,149.171.126.5,53,udp,CON,0.001044,130.0,162.0,31.0,29.0,0.0,0.0,dns,498084.2813,620689.625,2.0,2.0,0.0,0.0,0.0,0.0,65.0,81.0,0.0,0.0,0.0,0.0,1421927420.0,1421927420.0,0.011000000000000001,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.0,9.0,2.0,3.0,1.0,1.0,1.0,,0.0,0,0
