srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,Label
59.166.0.1,22571,149.171.126.2,23178,tcp,FIN,0.021979,2646,21834,31,29,7,14,-,940170.125,7758314.5,42,42,255,255,3644148545,1494856584,63,520,0,0,33.517745,0.862609,1421946272,1421946272,0.528195,0.522732,0.0006349999999999999,0.000536,9.9e-05,0,0,0,0,0,5,3,2,3,1,1,1,0,0
59.166.0.4,5982,149.171.126.7,5190,tcp,FIN,0.0057729999999999995,2054,2478,31,29,6,6,-,2717478.0,3291183.0,22,24,255,255,1772879842,3918585858,93,103,0,0,15.852510999999998,13.380757000000001,1421929486,1421929486,0.258286,0.223739,0.000773,0.000617,0.000156,0,0,0,0,0,7,5,3,3,2,1,1,0,0
59.166.0.2,64515,149.171.126.2,18409,tcp,FIN,0.013932,2766,27392,31,29,7,16,-,1552684.5,15387310.0,44,46,255,255,1334462892,1342568349,63,595,0,0,0.0,17.260627,1421952815,1421952815,0.315395,0.29802199999999995,0.000656,0.000518,0.000138,0,0,0,0,0,4,5,2,2,1,1,1,0,0
59.166.0.9,8697,149.171.126.5,6656,tcp,FIN,0.031602,2854,31538,31,29,7,17,-,706790.75,7817480.0,46,48,255,255,4047051710,4083616492,62,657,0,0,40.991690999999996,40.010155,1421953474,1421953474,0.691044,0.6604260000000001,0.000696,0.000557,0.000139,0,0,0,0,0,6,4,5,6,1,1,1,0,0
59.166.0.1,30853,149.171.126.3,58523,tcp,FIN,0.017961,2854,31444,31,29,7,17,-,1243583.375,13713714.0,46,48,255,255,787439908,2933165413,62,655,0,0,21.308451,20.714298,1421954013,1421954013,0.39195599999999997,0.368,0.000794,0.000657,0.00013700000000000002,0,0,0,0,0,14,2,1,10,1,1,1,0,0
59.166.0.5,51307,149.171.126.9,111,udp,CON,0.18638,568,320,31,29,0,0,-,18285.22461,10301.53418,4,4,0,0,0,0,142,80,0,0,72.590875,75.459609,1421938322,1421938322,51.34,53.364,0.0,0.0,0.0,0,0,0,0,0,5,7,4,7,1,1,3,0,0
59.166.0.5,4349,149.171.126.9,5658,tcp,FIN,0.004294,8928,320,31,29,4,1,ftp-data,15446669.0,497438.2813,14,6,255,255,3919055773,3930429794,638,53,0,0,16.962111,1.190965,1421929658,1421929658,0.330308,0.7412,0.00059,0.000452,0.000138,0,0,0,0,0,3,3,4,8,1,1,4,0,0
59.166.0.8,30640,149.171.126.1,53,udp,CON,0.00107,146,178,31,29,0,0,dns,545794.375,665420.5625,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421934860,1421934860,0.011000000000000001,0.008,0.0,0.0,0.0,0,0,0,0,0,3,1,2,4,1,1,1,0,0
59.166.0.7,62594,149.171.126.5,80,tcp,FIN,1.036202,1684,10168,31,29,3,5,-,12074.86621,74147.71094,14,18,255,255,4052271724,1908926336,120,565,0,0,8769.435287,7679.290193000001,1421934741,1421934742,79.679154,60.922824,0.000654,0.000513,0.00014099999999999998,0,0,0,0,0,8,17,3,3,1,1,2,0,0
175.45.176.0,63968,149.171.126.17,18011,tcp,FIN,0.700793,344,258,254,60,1,1,-,3436.107178,2454.362305,8,6,255,255,3455100174,2209828757,43,43,0,0,4654.53125,151.108031,1421931435,1421931436,85.620859,119.453203,0.20946700000000001,0.103523,0.10594400000000001,0,0,0,0,0,4,3,2,1,1,1,1,0,0
59.166.0.6,35974,149.171.126.7,25,tcp,FIN,0.349298,37410,3380,31,29,18,8,smtp,840336.875,75580.16406,52,42,255,255,1078475407,1079550861,719,80,0,0,635.000253,21.569727,1421950957,1421950957,6.842157,8.506536,0.000656,0.000524,0.000132,0,0,0,0,0,1,1,6,4,1,1,1,0,0
59.166.0.2,55192,149.171.126.0,53,udp,CON,0.001058,130,162,31,29,0,0,-,491493.375,612476.375,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1421932728,1421932728,0.011000000000000001,0.009000000000000001,0.0,0.0,0.0,0,0,0,0,0,3,13,9,1,1,1,1,0,0
59.166.0.4,54087,149.171.126.5,50375,udp,CON,0.0018239999999999999,536,304,31,29,0,0,-,1763157.875,1000000.0,4,4,0,0,0,0,134,76,0,0,0.643467,0.32881,1421927881,1421927881,0.46,0.239,0.0,0.0,0.0,0,0,0,0,0,16,7,4,5,1,1,4,0,0
59.166.0.0,16769,149.171.126.7,21,tcp,FIN,1.0478129999999999,2934,3740,31,29,11,15,ftp,21973.38477,28027.90039,52,54,255,255,981711633,1021106983,56,69,0,0,1507.4016390000002,53.907922,1421951118,1421951119,20.539216,19.759320000000002,0.000722,0.0005650000000000001,0.000157,0,0,0,1,1,1,3,2,12,1,1,2,0,0
59.166.0.9,60614,149.171.126.7,5190,tcp,FIN,0.5898869999999999,1470,1728,31,29,5,4,-,19040.93359,21766.88086,22,14,255,255,1746752788,1747011503,67,123,0,0,0.0,58.996784999999996,1421945109,1421945110,28.089857000000002,45.326309,0.0006259999999999999,0.0005070000000000001,0.00011899999999999999,0,0,0,0,0,5,19,25,5,5,5,5,0,0
10.40.85.1,0,224.0.0.5,0,ospf,INT,50.004372,384,0,1,0,0,0,-,51.195522,0.0,6,0,0,0,0,0,64,0,0,0,0.0,0.0,1421932237,1421932287,10000.874,0.0,0.0,0.0,0.0,0,0,0,0,0,2,4,4,2,2,4,2,0,0
59.166.0.9,62324,149.171.126.0,80,tcp,FIN,1.676411,17174,898714,31,29,2,290,-,81703.10938,4281804.5,321,617,255,255,1821235559,1822359450,54,1457,1,524288,273.818444,176.994447,1421945542,1421945544,5.2377970000000005,2.720484,0.0006940000000000001,0.000589,0.000105,0,0,3,0,0,15,21,19,14,5,5,5,0,0
59.166.0.9,20668,149.171.126.2,25,tcp,FIN,1.52414,37228,3380,31,29,18,8,smtp,191651.6875,17321.24414,52,42,255,255,1058064999,3240364095,716,80,0,0,2350.589821,74.666641,1421936092,1421936094,29.878315,37.162023,0.00061,0.000493,0.000117,0,0,0,0,0,1,3,4,1,1,1,1,0,0
59.166.0.6,46735,149.171.126.2,3072,tcp,FIN,0.012967,2230,14952,31,29,7,11,-,1335698.375,8968613.0,34,36,255,255,2385673724,2385926556,66,415,0,0,25.858147,26.674456,1421933471,1421933471,0.383152,0.353457,0.000752,0.000591,0.000161,0,0,0,0,0,6,7,3,2,1,1,1,0,0
59.166.0.5,63951,149.171.126.0,16009,tcp,FIN,0.019534,2766,27384,31,29,7,16,-,1107402.5,10971230.0,44,46,255,255,3484368818,3493316439,63,595,0,0,28.193703000000003,26.543442,1421933186,1421933186,0.446535,0.4214,0.000695,0.000567,0.000128,0,0,0,0,0,13,4,2,7,1,1,1,0,0
59.166.0.0,58092,149.171.126.3,53,udp,CON,0.001033,146,178,31,29,0,0,-,565343.6875,689254.625,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421955587,1421955588,0.002,0.001,0.0,0.0,0.0,0,0,0,0,0,2,13,3,1,1,1,1,0,0
59.166.0.2,3928,149.171.126.2,6881,tcp,FIN,0.013931,1540,1644,31,29,4,4,-,829229.8125,891824.0,16,18,255,255,2420705691,2431248295,96,91,0,0,62.92842099999999,1.457518,1421935490,1421935490,0.907133,0.792412,0.0005809999999999999,0.00045700000000000005,0.000124,0,0,0,0,0,9,12,7,8,6,1,6,0,0
59.166.0.6,40093,149.171.126.6,5190,tcp,FIN,0.00606,1064,2260,31,29,4,4,-,1288448.875,2735313.5,12,12,255,255,3318391745,1173381701,89,188,0,0,32.087059,0.794849,1421948118,1421948118,0.519364,0.49090900000000004,0.000778,0.00065,0.000128,0,0,0,0,0,9,7,2,2,1,1,1,0,0
59.166.0.4,44376,149.171.126.8,53,udp,CON,0.001042,146,178,31,29,0,0,dns,560460.625,683301.3125,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421945052,1421945052,0.009000000000000001,0.006999999999999999,0.0,0.0,0.0,0,0,0,0,0,4,4,8,7,4,2,2,0,0
59.166.0.3,2873,149.171.126.1,111,udp,CON,0.369224,568,312,31,29,0,0,-,9230.168945,5070.092772999999,4,4,0,0,0,0,142,78,0,0,130.56868,166.81756299999998,1421945393,1421945394,92.335,117.96333600000001,0.0,0.0,0.0,0,0,0,0,0,12,15,8,4,2,2,4,0,0
59.166.0.2,30023,149.171.126.1,49373,tcp,FIN,0.141023,4222,64070,31,29,7,30,-,236216.7969,3585514.5,72,74,255,255,4211468457,4211788864,59,866,0,0,113.256047,109.771372,1421930188,1421930188,1.981732,1.9236990000000003,0.0007440000000000001,0.000582,0.000162,0,0,0,0,0,4,4,5,3,1,1,1,0,0
59.166.0.7,32046,149.171.126.4,25,tcp,FIN,0.117558,37210,3276,31,29,18,8,smtp,2483540.0,217424.5781,52,40,255,255,2328033093,191051605,716,82,0,0,134.151872,5.170496,1421947490,1421947491,2.263843,2.742359,0.010792,0.010602,0.00018999999999999998,0,0,0,0,0,1,1,1,4,1,1,1,0,0
59.166.0.8,21097,149.171.126.2,35388,tcp,FIN,0.5617949999999999,424,8824,31,29,1,4,ftp-data,5283.065918,115187.9219,8,12,255,255,3782266065,2098710183,53,735,0,0,5201.126578,4058.264224,1421938750,1421938750,80.20614499999999,51.020908,0.0006900000000000001,0.000562,0.000128,0,0,0,0,0,2,3,1,2,1,1,1,0,0
59.166.0.0,29776,149.171.126.7,52119,tcp,FIN,0.029994999999999997,3614,49342,31,29,7,24,-,947891.3125,12948025.0,60,62,255,255,82241325,82532461,60,796,0,0,28.270671999999998,26.675388,1421934816,1421934816,0.503153,0.48208199999999995,0.000735,0.0005769999999999999,0.00015800000000000002,0,0,0,0,0,7,7,4,4,1,1,1,0,0
59.166.0.2,56505,149.171.126.3,61588,tcp,FIN,0.014038,2438,20194,31,29,7,13,-,1352899.25,11220971.0,38,40,255,255,3307070133,3311579510,64,505,0,0,21.804956,19.695269,1421934149,1421934149,0.369541,0.354053,0.000735,0.000583,0.000152,0,0,0,0,0,14,17,3,4,1,1,1,0,0
59.166.0.4,43383,149.171.126.2,31473,udp,CON,0.0017100000000000001,520,304,31,29,0,0,-,1824561.375,1066666.625,4,4,0,0,0,0,130,76,0,0,0.623432,0.29180100000000003,1421929247,1421929247,0.444333,0.212333,0.0,0.0,0.0,0,0,0,0,0,9,13,4,8,1,1,4,0,0
59.166.0.6,30500,149.171.126.2,58189,tcp,FIN,0.011041,2438,20576,31,29,7,13,-,1720134.125,14536365.0,38,40,255,255,262435040,275933618,64,514,0,0,16.272863,16.564320000000002,1421952369,1421952369,0.285405,0.277632,0.000618,0.000487,0.000131,0,0,0,0,0,7,7,3,4,1,1,1,0,0
59.166.0.1,23125,149.171.126.6,18118,tcp,FIN,0.024876,3614,44406,31,29,7,24,-,1142949.0,14050490.0,60,62,255,255,3924836990,1775612253,60,716,0,0,24.221071,23.398574,1421936573,1421936573,0.41613599999999995,0.396852,0.000822,0.0006580000000000001,0.000164,0,0,0,0,0,11,4,3,2,1,1,1,0,0
59.166.0.4,3796,149.171.126.2,46300,udp,CON,0.001857,528,304,31,29,0,0,-,1705977.375,982229.375,4,4,0,0,0,0,132,76,0,0,0.599155,0.36486999999999997,1421942617,1421942617,0.428667,0.263,0.0,0.0,0.0,0,0,0,0,0,8,9,4,6,1,1,3,0,0
59.166.0.9,36105,149.171.126.8,25,tcp,FIN,0.488843,37162,3276,31,29,18,8,-,596477.8125,52286.72656,52,40,255,255,975289041,976278390,715,82,0,0,895.6272539999999,30.071953000000004,1421955731,1421955732,9.578392,12.520205,0.000683,0.000551,0.000132,0,0,0,0,0,13,12,2,3,1,1,1,0,0
59.166.0.0,51096,149.171.126.9,30505,tcp,FIN,0.037712999999999997,3614,50036,31,29,7,24,-,753904.5,10442872.0,60,62,255,255,753888695,2899506463,60,807,0,0,0.0,38.544668,1421929159,1421929159,0.633051,0.5987210000000001,0.001327,0.001188,0.000139,0,0,0,0,0,5,4,3,3,1,1,1,0,0
59.166.0.5,23648,149.171.126.2,22,tcp,FIN,0.019924,12648,13098,31,29,35,33,-,5038345.5,5216221.5,126,122,255,255,1879330329,4029231095,100,107,0,0,10.721134,11.338326,1421933635,1421933635,0.159392,0.161101,0.0007570000000000001,0.000614,0.000143,0,0,0,0,0,6,9,3,1,1,1,1,0,0
59.166.0.1,2977,149.171.126.2,53,udp,CON,0.001047,146,178,31,29,0,0,dns,557784.125,680038.1875,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421952214,1421952214,0.01,0.01,0.0,0.0,0.0,0,0,0,0,0,2,1,3,5,1,1,1,0,0
59.166.0.9,61356,149.171.126.7,53,udp,CON,0.001098,146,178,31,29,0,0,dns,531876.125,648451.75,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421929745,1421929745,0.011000000000000001,0.008,0.0,0.0,0.0,0,0,0,0,0,3,6,5,1,1,1,1,0,0
59.166.0.4,51802,149.171.126.7,53,udp,CON,0.001169,146,178,31,29,0,0,dns,499572.25,609067.5625,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421951692,1421951692,0.012,0.008,0.0,0.0,0.0,0,0,0,0,0,1,3,5,3,1,1,1,0,0
59.166.0.6,5002,149.171.126.6,50280,tcp,FIN,0.037001,3806,54798,31,29,7,26,-,810140.3125,11668442.0,64,66,255,255,1612187539,1612525235,59,830,0,0,34.622234999999996,33.31514,1421928788,1421928788,0.590387,0.559138,0.000786,0.000647,0.000139,0,0,0,0,0,4,4,2,3,1,1,1,0,0
59.166.0.3,28975,149.171.126.3,26239,tcp,FIN,0.022881,3614,46932,31,29,7,24,-,1242603.125,16144749.0,60,62,255,255,3498206725,3498535407,60,757,0,0,20.472639,19.992046,1421951361,1421951361,0.382475,0.36445900000000003,0.000767,0.000615,0.000152,0,0,0,0,0,10,8,4,2,1,1,1,0,0
59.166.0.5,36782,149.171.126.8,53,udp,CON,0.001064,130,162,31,29,0,0,dns,488721.8125,609022.5625,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1421951950,1421951950,0.011000000000000001,0.009000000000000001,0.0,0.0,0.0,0,0,0,0,0,3,2,5,6,2,1,2,0,0
59.166.0.3,51234,149.171.126.6,6881,tcp,FIN,0.01986,1540,1644,31,29,4,4,-,581671.75,625579.0625,16,18,255,255,2944954104,2949532841,96,91,0,0,80.14660500000001,2.299782,1421953930,1421953930,1.299867,1.141294,0.0005769999999999999,0.000455,0.000122,0,0,0,0,0,13,15,9,7,5,1,5,0,0
59.166.0.7,35255,149.171.126.5,6881,tcp,FIN,6.088676,1540,1644,31,29,4,4,-,1897.292603,2040.5092769999999,16,18,255,255,3408015505,2730560689,96,91,0,0,23238.87707,601.954187,1421927444,1421927450,405.88973300000004,346.260719,0.203998,0.202232,0.001766,0,0,0,0,0,4,9,12,7,2,1,2,0,0
59.166.0.2,17847,149.171.126.1,80,tcp,FIN,1.1698959999999998,1684,10168,31,29,3,5,-,10694.967770000001,65674.21094,14,18,255,255,2840215302,2841299435,120,565,0,0,9036.450496,7911.77645,1421933740,1421933741,89.967618,68.78688199999999,0.0006519999999999999,0.000512,0.00014,0,0,0,0,0,12,7,2,2,1,1,1,0,0
175.45.176.1,47439,149.171.126.18,53,udp,INT,6e-06,114,0,254,0,0,0,dns,76000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1421931921,1421931921,0.006,0.0,0.0,0.0,0.0,0,2,0,0,0,7,7,4,5,4,4,4,Generic,1
59.166.0.5,20789,149.171.126.2,111,udp,CON,0.00469,568,304,31,29,0,0,-,726652.5,388912.5938,4,4,0,0,0,0,142,76,0,0,1.756218,1.5242870000000002,1421946226,1421946226,1.244333,1.083333,0.0,0.0,0.0,0,0,0,0,0,4,12,6,3,1,1,2,0,0
59.166.0.7,9126,149.171.126.9,17511,tcp,FIN,0.0028539999999999998,320,1910,31,29,1,2,ftp-data,748423.25,4686755.5,6,8,255,255,957521510,961321005,53,239,0,0,27.767879999999998,0.535571,1421929406,1421929406,0.5006,0.336714,0.000624,0.00049,0.000134,0,0,0,0,0,6,3,8,5,1,1,4,0,0
59.166.0.8,11703,149.171.126.1,42400,tcp,FIN,0.297338,8928,320,31,29,4,1,ftp-data,223072.7188,7183.743651999999,14,6,255,255,4041844889,2295412735,638,53,0,0,2179.7633379999997,94.84692199999999,1421929899,1421929899,22.872154000000002,59.345397999999996,0.000604,0.00047599999999999997,0.000128,0,0,0,0,0,3,3,8,4,1,1,3,0,0
59.166.0.9,3876,149.171.126.6,29717,tcp,FIN,0.42250299999999996,424,8824,31,29,1,4,ftp-data,7024.802245999999,153163.4063,8,12,255,255,2347469207,602879990,53,735,0,0,3612.022814,2871.478356,1421931127,1421931127,60.30785699999999,38.362727,0.0006309999999999999,0.000509,0.000122,0,0,0,0,0,2,2,2,4,1,1,2,0,0
59.166.0.0,47862,149.171.126.4,32734,tcp,FIN,0.017785,2230,14844,31,29,7,11,-,973854.375,6501659.0,34,38,255,255,2257191193,122607654,66,391,0,0,35.741955,30.065652000000004,1421949495,1421949495,0.528909,0.42551400000000006,0.003865,0.002038,0.001827,0,0,0,0,0,4,7,3,7,1,1,1,0,0
59.166.0.8,13961,149.171.126.2,6881,tcp,FIN,0.018741999999999998,1540,1644,31,29,4,4,-,616369.625,662896.125,16,18,255,255,2140057922,2145060016,96,91,0,0,74.558995,2.136657,1421953492,1421953492,1.2284,1.0755290000000002,0.000597,0.000454,0.000143,0,0,0,0,0,16,17,7,19,11,1,7,0,0
10.40.85.30,0,10.40.85.1,0,arp,CON,30.982662,184,112,0,0,0,0,-,35.632832,21.68955,4,4,0,0,0,0,46,28,0,0,15490.777,15490.783000000001,1421944588,1421944619,15490.84,15490.841999999999,0.0,0.0,0.0,0,0,0,0,0,2,2,2,2,2,2,2,0,0
59.166.0.5,7566,149.171.126.6,45121,tcp,FIN,0.183016,4342,59594,31,29,7,30,-,187262.3125,2569786.25,74,74,255,255,3942060340,3942355082,59,805,0,0,137.634067,3.566103,1421937607,1421937608,2.502384,2.499041,0.000718,0.0005780000000000001,0.00014,0,0,0,0,0,5,9,3,3,1,1,2,0,0
59.166.0.5,3947,149.171.126.8,53,udp,CON,0.001124,146,178,31,29,0,0,dns,519572.9688,633452.0,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421948657,1421948657,0.012,0.008,0.0,0.0,0.0,0,0,0,0,0,1,2,5,4,1,1,1,0,0
59.166.0.7,51703,149.171.126.1,18763,tcp,FIN,0.009664,2230,14994,31,29,7,11,-,1792218.5,12067881.0,34,36,255,255,1463378016,1463679482,66,417,0,0,16.811966,14.746447,1421932331,1421932331,0.281848,0.258857,0.0007559999999999999,0.000593,0.00016299999999999998,0,0,0,0,0,7,6,2,3,1,1,1,0,0
59.166.0.1,30010,149.171.126.3,80,tcp,FIN,1.0848209999999998,1580,10168,31,29,3,5,http,10685.63379,70824.58594,12,18,255,255,2903699259,759368734,132,565,1,3924,9561.549358,7699.5752760000005,1421931768,1421931769,98.588544,63.780649,0.000672,0.000545,0.000127,0,0,1,0,0,1,2,6,1,1,1,1,0,0
59.166.0.6,12893,149.171.126.4,11698,udp,CON,0.001809,528,304,31,29,0,0,-,1751243.75,1008291.875,4,4,0,0,0,0,132,76,0,0,0.644174,0.31749299999999997,1421945759,1421945759,0.46,0.231,0.0,0.0,0.0,0,0,0,0,0,6,8,6,3,1,1,2,0,0
59.166.0.2,64289,149.171.126.0,16886,tcp,FIN,0.45923800000000004,5120,3080,31,29,7,7,-,86020.75781,51877.24219,28,30,255,255,439009674,2610239662,183,103,0,0,1011.951084,26.356889000000002,1421942863,1421942863,16.996629000000002,15.815689,0.000718,0.000579,0.000139,0,0,0,0,0,3,12,5,5,1,1,4,0,0
59.166.0.9,5339,149.171.126.4,1884,tcp,FIN,0.017937,2646,25310,31,29,7,15,-,1152032.0,11031945.0,42,44,255,255,132352056,2278061796,63,575,0,0,22.777906,21.901384,1421947974,1421947974,0.42326800000000003,0.402674,0.000746,0.000611,0.000135,0,0,0,0,0,4,11,5,3,1,1,2,0,0
59.166.0.8,26536,149.171.126.9,65093,tcp,FIN,0.429462,424,8824,31,29,1,4,ftp-data,6910.972656,150681.5625,8,12,255,255,1452892784,2512776212,53,735,0,0,3657.495336,2899.543648,1421942075,1421942076,61.298998,38.999545,0.000591,0.000462,0.000129,0,0,0,0,0,3,3,5,2,1,1,2,0,0
59.166.0.8,44291,149.171.126.2,6881,tcp,FIN,0.032425,1540,1644,31,29,4,4,-,356268.3125,383161.125,16,18,255,255,798006229,2949471292,96,91,0,0,146.488828,3.761596,1421953587,1421953587,2.140133,1.825823,0.0015199999999999999,0.001382,0.000138,0,0,0,0,0,7,14,9,9,7,1,7,0,0
59.166.0.6,8644,149.171.126.3,42563,tcp,FIN,0.048079000000000004,2542,22432,31,29,7,14,-,412487.7813,3643670.0,40,42,255,255,176036848,228529928,64,534,0,0,0.0,70.46473399999999,1421944949,1421944949,1.224077,1.1592200000000001,0.000726,0.000547,0.00017900000000000001,0,0,0,0,0,6,6,5,10,1,1,1,0,0
59.166.0.1,41706,149.171.126.0,30872,tcp,FIN,0.376419,424,8824,31,29,1,4,ftp-data,7884.830078,171914.7969,8,12,255,255,488647058,1258506376,53,735,0,0,3177.575451,2520.829539,1421950445,1421950445,53.724143000000005,34.172272,0.000659,0.000523,0.000136,0,0,0,0,0,2,2,2,2,1,1,1,0,0
59.166.0.1,62124,149.171.126.3,23462,tcp,FIN,0.015002000000000001,2542,23278,31,29,7,14,-,1321957.0,12117851.0,40,42,255,255,3309654373,1164571341,64,554,0,0,26.497809999999998,25.494943,1421944564,1421944564,0.374744,0.35129299999999997,0.0007440000000000001,0.000589,0.000155,0,0,0,0,0,11,6,6,5,1,1,1,0,0
59.166.0.1,54182,149.171.126.6,111,udp,CON,0.004717,568,312,31,29,0,0,-,722493.125,396862.4375,4,4,0,0,0,0,142,78,0,0,1.71733,1.506378,1421953090,1421953090,1.221333,1.071667,0.0,0.0,0.0,0,0,0,0,0,5,5,6,6,1,1,4,0,0
59.166.0.3,27704,149.171.126.9,80,tcp,FIN,1.301112,1684,10168,31,29,3,5,-,9616.389648,59051.02344,14,18,255,255,2196301298,2197291149,120,565,0,0,10144.00015,8880.742686,1421934154,1421934155,100.058536,76.507059,0.0006230000000000001,0.000488,0.000135,0,0,0,0,0,16,13,2,2,1,1,1,0,0
59.166.0.0,40096,149.171.126.3,143,tcp,FIN,0.8976149999999999,7810,15096,31,29,30,32,-,69036.28125,133482.6094,122,126,255,255,2065672923,4212143522,64,120,0,0,481.20512599999995,478.612053,1421933928,1421933929,7.415430000000001,7.176584,0.0006929999999999999,0.000535,0.00015800000000000002,0,0,0,0,0,7,5,3,3,1,1,2,0,0
59.166.0.4,20301,149.171.126.4,53,udp,CON,0.001045,146,178,31,29,0,0,dns,558851.625,681339.6875,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421935152,1421935152,0.011000000000000001,0.002,0.0,0.0,0.0,0,0,0,0,0,3,4,3,2,1,1,2,0,0
59.166.0.0,36439,149.171.126.5,6881,tcp,FIN,2.11809,13246,548216,31,29,21,197,-,49814.69531,2065880.25,230,438,255,255,302595377,308297896,58,1252,0,0,3179.0306649999998,2301.301359,1421938174,1421938176,9.24793,4.845728,0.000634,0.000504,0.00013000000000000002,0,0,0,0,0,12,7,2,5,2,1,2,0,0
